,id,country_name,Indicator_Name,YR_2008,YR_2009,YR_2010,YR_2011,YR_2012,YR_2013,YR_2014,YR_2015,YR_2016,YR_2017,YR_2018
244,245,Tanzania,GDP (current US$),27941177435.0,29081425282.0,32014249841.0,34657139495.0,39650530214.0,45680532614.0,49964788814.0,47378599025.0,49774021003.0,53320625959.0,58001200572.0
245,246,Uganda,GDP (current US$),14239026630.0,18168902154.0,20186496527.0,20176025257.0,23114293416.0,24599550624.0,27291879819.0,27102650387.0,24133664285.0,25995031850.0,27461440192.0
246,247,Ukraine,GDP (current US$),180000000000.0,117000000000.0,136000000000.0,163000000000.0,176000000000.0,183000000000.0,134000000000.0,91030959455.0,93355993629.0,112000000000.0,131000000000.0
247,248,Upper middle income,GDP (current US$),13600000000000.0,13100000000000.0,15900000000000.0,19000000000000.0,20300000000000.0,21600000000000.0,22300000000000.0,20900000000000.0,20800000000000.0,22900000000000.0,24400000000000.0
248,249,Uruguay,GDP (current US$),30366213118.0,31660911279.0,40284481653.0,47962439303.0,51264390114.0,57531233351.0,57236013058.0,53274304222.0,52687612262.0,56488991831.0,59596885024.0
249,250,United States,GDP (current US$),14700000000000.0,14400000000000.0,15000000000000.0,15500000000000.0,16200000000000.0,16800000000000.0,17500000000000.0,18200000000000.0,18700000000000.0,19500000000000.0,20500000000000.0
250,251,Uzbekistan,GDP (current US$),29549438884.0,33689223673.0,46679875794.0,56516280748.0,63628854499.0,68997168338.0,76658542757.0,81847410182.0,81779012351.0,59159945321.0,50499921558.0
251,252,St. Vincent and the Grenadines,GDP (current US$),695428851.9,674922481.5,681225963.0,676129407.4,692933740.7,721207407.4,727714814.8,755400000.0,774429629.6,792177777.8,811300000.0
252,253,"Venezuela, RB",GDP (current US$),316000000000.0,330000000000.0,393000000000.0,316000000000.0,381000000000.0,371000000000.0,482000000000.0,,,,
253,254,British Virgin Islands,GDP (current US$),,,,,,,,,,,
254,255,Virgin Islands (U.S.),GDP (current US$),4250000000.0,4203000000.0,4339000000.0,4239000000.0,4095000000.0,3762000000.0,3622000000.0,3748000000.0,3863000000.0,3855000000.0,
255,256,Vietnam,GDP (current US$),99130304099.0,106000000000.0,116000000000.0,136000000000.0,156000000000.0,171000000000.0,186000000000.0,193000000000.0,205000000000.0,224000000000.0,245000000000.0
256,257,Vanuatu,GDP (current US$),607958616.1,610066628.7,700804286.2,792149700.7,781702874.1,801787555.9,814954307.0,759689950.9,804332795.6,880043553.7,914301119.3
257,258,World,GDP (current US$),63600000000000.0,60300000000000.0,66100000000000.0,73400000000000.0,75100000000000.0,77200000000000.0,79300000000000.0,75000000000000.0,76200000000000.0,81000000000000.0,85900000000000.0
258,259,Samoa,GDP (current US$),619260721.6,584706020.2,663161528.4,737401684.1,760549577.7,770021643.6,756919933.5,788307314.9,799376440.0,831903814.1,820491798.3
259,260,Kosovo,GDP (current US$),5687361945.0,5653823284.0,5830415894.0,6692431193.0,6499759733.0,7071982209.0,7386883375.0,6440067650.0,6714726770.0,7227700023.0,7938990793.0
260,261,"Yemen, Rep.",GDP (current US$),26910851362.0,25130274124.0,30906749533.0,32726417878.0,35401339869.0,40415233436.0,43228585321.0,42628328212.0,30968242968.0,26818703093.0,26914402224.0
261,262,South Africa,GDP (current US$),287000000000.0,296000000000.0,375000000000.0,416000000000.0,396000000000.0,367000000000.0,351000000000.0,318000000000.0,296000000000.0,350000000000.0,368000000000.0
262,263,Zambia,GDP (current US$),17910858638.0,15328342304.0,20265556274.0,23460098340.0,25503370699.0,28045460442.0,27150630607.0,21243350633.0,20954754378.0,25868142077.0,26720073436.0
263,264,Zimbabwe,GDP (current US$),4415702800.0,9665793300.0,12041655200.0,14101920300.0,17114849900.0,19091020000.0,19495519600.0,19963120600.0,20548678100.0,22813010116.0,31000519447.0
