country_name,Indicator_Name,YR_2008,YR_2009,YR_2010,YR_2011,YR_2012,YR_2013,YR_2014,YR_2015,YR_2016,YR_2017,YR_2018
Aruba,"Population, total",101358,101455,101669,102046,102560,103159,103774,104341,104872,105366,105845
Afghanistan,"Population, total",27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386
Angola,"Population, total",21695634,22514281,23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762
Albania,"Population, total",2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376
Andorra,"Population, total",83862,84463,84449,83747,82427,80774,79213,78011,77297,77001,77006
Arab World,"Population, total",338395961,346629220,354890042,363158703,371443547,379705719,387907748,396028278,404024433,411898965,419790588
United Arab Emirates,"Population, total",7089487,7917372,8549988,8946777,9141596,9197910,9214175,9262900,9360980,9487203,9630959
Argentina,"Population, total",40080160,40482788,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502
Armenia,"Population, total",2907618,2888092,2877319,2876538,2884229,2897584,2912403,2925553,2936146,2944809,2951776
American Samoa,"Population, total",57492,56683,56079,55759,55667,55713,55791,55812,55741,55620,55465
Antigua and Barbuda,"Population, total",85397,86746,88028,89253,90409,91516,92562,93566,94527,95426,96286
Australia,"Population, total",21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992369
Austria,"Population, total",8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8847037
Azerbaijan,"Population, total",8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9942334
Burundi,"Population, total",8126102,8397668,8675602,8958406,9245988,9540289,9844297,10160030,10487998,10827024,11175378
Belgium,"Population, total",10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11422068
Benin,"Population, total",8696921,8944708,9199259,9460830,9729248,10004588,10286842,10575952,10872067,11175204,11485048
Burkina Faso,"Population, total",14689725,15141098,15605217,16081911,16571246,17072775,17586017,18110624,18646378,19193284,19751535
Bangladesh,"Population, total",144304167,145924797,147575430,149273778,151007807,152764676,154520167,156256276,157970840,159670593,161356039
Bulgaria,"Population, total",7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7024216
Bahrain,"Population, total",1114641,1185076,1240860,1278151,1299943,1315029,1336075,1371851,1425791,1494074,1569439
"Bahamas, The","Population, total",343681,349604,354942,359577,363584,367168,370633,374206,377931,381761,385640
Bosnia and Herzegovina,"Population, total",3754271,3735938,3705472,3661175,3604972,3542605,3482104,3429361,3386267,3351527,3323929
Belarus,"Population, total",9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9498264,9485386
Belize,"Population, total",306823,314655,322464,330237,338000,345715,353366,360933,368400,375769,383071
Bermuda,"Population, total",65273,65636,65124,64564,64798,65001,65139,65239,64555,63874,63968
Bolivia,"Population, total",9721454,9884781,10048590,10212954,10377676,10542376,10706517,10869730,11031813,11192854,11353142
Brazil,"Population, total",192030362,193886508,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333
Barbados,"Population, total",279946,281104,282131,282987,283700,284296,284825,285324,285796,286233,286641
Brunei Darussalam,"Population, total",379421,383906,388646,393688,398989,404421,409769,414907,419800,424473,428962
Bhutan,"Population, total",671613,678323,685503,693298,701583,710238,719056,727876,736709,745568,754394
Botswana,"Population, total",1915639,1953498,1987105,2015402,2039551,2062536,2088614,2120716,2159944,2205128,2254126
Central African Republic,"Population, total",4273366,4337625,4386768,4418636,4436415,4447942,4464175,4493170,4537687,4596028,4666377
Canada,"Population, total",33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36540268,37058856
Central Europe and the Baltics,"Population, total",105001883,104800475,104421447,104174038,103935318,103713726,103496179,103257751,102994343,102738854,102511922
Switzerland,"Population, total",7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8516543
Channel Islands,"Population, total",156433,158178,159734,160998,162056,163038,164100,165385,166923,168665,170499
Chile,"Population, total",16708258,16886186,17062536,17233576,17400347,17571507,17758959,17969353,18209068,18470439,18729160
China,"Population, total",1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000
Cote d'Ivoire,"Population, total",19605569,20059147,20532950,21028655,21547188,22087505,22647683,23226143,23822714,24437469,25069229
